truku	zh	en	fr	headword
Miyah nami malah tahut su ya sa mskuy bi da!	天氣很冷，我們來你的火邊取暖！	We have come to warm ourselves at your fire, since it is very cold!	Nous venons nous réchauffer à ton feu, vu qu'il fait très froid.	ALAX
Ya han! Saun mu pnais palah baga mu da!	等一下！我只是要去暖一暖手！	Wait a moment! I just want to go and warm my hands a little!	Attends un peu ! Je veux juste aller réchauffer un peu mes mains !	ALAX
Ida empniqun ariq ka dqras su.	無論如何，疤痕會留在你臉上！	In any case the scar will remain on your face!	De toute façon la cicatrice restera sur ta figure !	ALEQ
Ini bi alix mimah sinaw ka hiya.	他喝酒喝個不停！	He never stops drinking alcohol!	Lui n'arrête pas de boire de l'alcool !	ALEX
Mha su msadu duri? … Aji! Mnarih ku da!	你要再去做工嗎？……不！我已經不做了！	Are you going to hire yourself out again? … No! I have already quit!	Vas tu t'embaucher de nouveau ? … Non ! J'ai déjà abandonné !	ALEX
Ida mu laxun ka sinaw.	我一定要戒酒！	I absolutely want to give up alcohol!	Je veux absolument laisser tomber l'alcool !	ALEX
Tahui ta han! Ma su malix!	我們待在一起吧！你為什麼丟下我（你是在跟我賭氣嗎）？	Let's stay together! Why are you dropping me (are you sulking at me)?	Restons ensemble ! Pourquoi me laisses tu tomber (est-ce que tu me bouderais !).	ALEX
Rngaw nanak! Aji su bi empdhuq pealix knan!	隨你怎麼說！你別想讓我放棄！	Talk all you want! You will not manage to make me quit!	Parle toujours ! Tu n'arrives pas à me faire quitter !	ALEX
Laxi bi mimah sinaw!	你別再喝酒了！	Do stop drinking!	Arrête toi donc de boire !	ALEX
Wada mu plaxan ka kuyuh mu da!	我已經把妻子休了（木已成舟）！	I have sent my wife away (made her leave) (it is done!).	J'ai renvoyé (fait quitter) ma femme (c'est fait !).	ALEX
Laxi da! Hmut tealix ka hiya.	算了吧！他無緣無故就是要自己一個人！	Forget it! For no reason he insists on keeping to himself!	Laisse tomber ! Sans raison il veut faire bande à part, lui !	ALEX
Kiya ni, asi dha lxani ka srahug dha.	於是他們立刻撇下他們的漁網。	And at once they left their nets.	Et voilà qu'ils quittent aussitôt leurs filets.	ALEX
Snaw laqi mu kuyuh o, kika ama mu.	我女兒的丈夫就是我的女婿。	My daughter's husband is my son-in-law.	Le mari de ma fille c'est mon gendre.	AMA
Ingay ka empeama mu.	將成為我女婿的人是 Ingay。	It is Ingay who will become my son-in-law.	C'est Ingay qui deviendra mon gendre.	AMA
Kmpama ku Laun.	我想成為 "Laon 的女婿。	I would like to become "Laon's son-in-law.	J'aimerais devenir le gendre de "Laon.	AMA
Rngagi bi Banan.	快對 Iban 說吧（趕快說、真的說）。	Do say it (say it quickly, say it truly) to Iban.	Dis le donc (dis le vite, dis le vraiment) à Iban.	AN
Mha ku tmaan.	我要去我父親那裡（我朝父親那裡去）。	I am going to my father's (going toward my father).	Je vais chez mon père (je vais vers mon père).	AN
Biqun mu hyaan ka pila.	我要把錢給他（她）。	It is to him (her) that I will give the money.	C'est à lui (elle) que je donnerai l'argent.	AN
Wada mu rngagan da! … Ima ka rngagan su?	我（確實）說了！……你是對誰說的？	I did say it (in fact)! … To whom did you say it?	Je l'ai dit (de fait) ! … A qui l'as tu dit ?	AN
Malu = Beau, bien; Knmalu = beauté, bonté.	Malu=美、好；Knmlaan=美、善。	Malu = beautiful, good; Knmlaan = beauty, goodness.	Malu = Beau, bien ; Knmlaan = beauté, bonté.	AN
Mkla = Savoir; Kngkla = Connaissance.	Mk'la=知道；Knklaan=知識。	Mk'la = to know; Knklaan = knowledge.	Mk'la = Savoir ; Knklaan = Connaissance.	AN
Embanah = Rouge; Knbnahan = Rougeur.	Mbanax=紅；Knbnaxan=紅色。	Mbanax = red; Knbnaxan = redness.	Mbanax = Rouge ; Knbnaxan = Rougeur.	AN
Meudus = Vivant; Kndsan = La vie.	Mudus=活著；Kndusan=生命。	Mudus = alive; Kndusan = life.	Mudus = Vivant ; Kndusan = La vie.	AN
Mgrbu = Le matin; Knlbuan = “matinalité”	Ml'bu=早晨；Knlbuan=「晨性」。	Ml'bu = morning; Knlbuan = “morning-ness”.	Ml'bu = Le matin ; Knlbuan = « matinalité ».	AN
Ana inu.	到處-任何地方。	Everywhere - anywhere.	Partout - n'importe où.	ANA
Ana yaku ana isu.	你和我都一樣-不論是我還是你。	Both I and you - me as well as you.	Et moi et toi - Aussi bien moi que toi.	ANA
Ana ini.	不是非要不可。	It is not indispensable.	Ce n'est pas indispensable.	ANA
Ana mhuya.	無論如何-反正。	Be that as it may - in any case.	Quoi qu'il en soit - de toute façon.	ANA
Ana niya.	沒關係！-不要緊。	Too bad! - it doesn't matter.	Tant pis ! - celà ne fait rien.	ANA
Ana ququ.	無所謂。	Of no importance.	Aucune importance.	ANA
Ana hmut.	隨便怎樣都行。	No matter how.	Peu importe comment.	ANA
Ana knuwan.	任何時候-總是。	Anytime - always.	N'importe quand - toujours.	ANA
Ana su paru o, ida misu laqi.	就算你長大了，你仍然是我的孩子。	However big you may be, you are still my child.	Tu as beau être grand tu restes mon fils.	ANA
Manay ta ka ita.	我們倆是姻親兄弟。	We two are brothers-in-law.	Nous, nous sommes beaux-frères.	ANAI
Empeanay.	將成為姻親兄弟。	Will become a brother-in-law.	Deviendra beau-frère.	ANAI
Ini ku angal kuyuh ka yaku.	我啊，我不娶妻。	As for me, I am not taking a wife.	Moi je ne prends pas femme.	ANGAL
Miyah ku bbuyu ni ini ku angal.	我來打獵，卻一無所獲！	I come hunting and I catch nothing!	Je viens à la chasse et je ne prends rien !	ANGAL
Ngali bi ka pila.	把錢好好拿著。	Be sure to take the money.	Prends bien l'argent.	ANGAL
Mnangal ku ghak trabus tama.	我拿了爸爸的花生種子。	I took Dad's peanut seeds.	J'ai pris les graines d'arachides de papa.	ANGAL
Ima ka nangal kuyuh sayang?	現在娶妻的是誰……（頁末中斷）	Who is it that takes a wife now... (cut off at the end of the page)	Qui est-ce qui prend femme au.	ANGAL
Ngalun saku manu?	「你把我當成什麼？」	What do you take me for?	Tu me prends pour quoi ?	ANGAL
Miyah ku pangal masu mu.	「我來讓人把我的小米帶走。」	I have come to have my millet carried away.	Je viens faire emporter mon millet.	ANGAL
Pngalun su knuwan ka buwax?	「你什麼時候要讓人來拿你的米？」	When will you have your rice taken?	Quand feras tu prendre ton riz ?	ANGAL
Ya han! Ita pucing su, pkngalun mu rhiq qhuni ka tlealay.	「等一下，把你的刀遞給我，我要先把樹皮剝下來。」	Wait a moment, hand me your knife; I first want to get the bark off the tree.	Attends un peu, passe moi ton couteau, je veux d'abord faire décoller l'écorce de l'arbre.	ANGAL
Tkeangal balay ka ruciq baga mu.	「我手上的髒污很容易脫落。」	The dirt on my hands comes off very well.	La saleté de mes mains s'en va très bien.	ANGAL
Ini tkeangal ka pntasan su dqras.	「你臉上的刺青是擦不掉的。」	The tattoo on your face is indelible.	Le tatouage sur ton visage est indélébile.	ANGAL
Aji manu ka yahan mu, seangal mu kuyuh.	「我來只是為了娶（找）妻子。」	I have come only to take (find) a wife.	Je ne suis venu que pour prendre (trouver) femme.	ANGAL
Kuluk ka speangal mu rmngaw.	「我說話時要拿烏龜作例子。」	It is the tortoise that I shall use as an example in speaking.	C'est la tortue qui me servira d'exemple pour parler.	ANGAL
Ini ku apa ana manu ka yaku.	「我什麼都沒有背。」	As for me, I am carrying nothing.	Moi je ne porte rien.	APA
Mnapa ku bunga sgbiyan o, mnda ku qmpahan mu sqmu; ga prajing mapa da.	「昨晚我背著地瓜經過我的玉米田；玉米開始結穗了。」	Last night, while carrying my sweet potatoes, I passed by my maize field; it is beginning to put out ears.	Hier soir en portant mes patates douces je suis passé par mon champ de maïs ; il commence à mettre des épis.	APA
Meuwit ku bi da! Paani (ppeani?) ku hu?	「我好累；你能背我嗎？」	I am very tired; could you carry me?	Je suis bien fatigué ; pourrais tu me porter ?	APA
Ga inu ka napa su?	「你背來的東西在哪裡？」	Where is the load that you carried?	Où est elle la charge que tu as portée ?	APA
Manu ka nii? … Napa sqmu ka kiya!	「這是什麼？……那是玉米穗。」	What is this? … That is an ear of maize.	Qu'est ce que celà ? … C'est un épi de maïs.	APA
Ini bi ksa ka papak mu da; ppai ku tdruy su hu?	「我的腳走不動了；讓我搭你的車，好嗎？」	My feet will not walk any more; let me get into your car, will you?	Mes pieds ne veulent plus marcher ; fais moi monter sur ta voiture, veux tu ?	APA
Mha ku papa tdruy da.	「我要坐車去了。」	I am going there by car.	J'y vais en voiture.	APA
Tama mu nanak ka pnpaan mu skeeman.	「昨晚背我的正是我自己的父親！」	It was my own father who carried me last night!	C'est mon propre père qui m'a porté hier soir !	APA
Ppaun mu tdruy ka lqlaqi mu.	「我要讓我的孩子們上車。」	I want to put my children into the car.	Je veux faire monter mes enfants dans la voiture.	APA
Pixi balay.	「用力壓！」	Press hard!	Presse fort !	APIX
Wada ku na pixun papak ka swayi su.	「你弟弟壓到了我的腳。」	Your brother crushed my foot.	Ton frère m'a écrasé le pied.	APIX
Dhuq ka pais do, asi mhdu empapix kana spsapah alang da.	「敵人一到，村裡的房屋就全都毀了。」	Hardly had the enemies arrived when all the houses of the village were destroyed.	A peine les annemis arrivés et toutes les maisons du village sont détruites.	APIX
Suyang bi uqun ka apu.	「柿子很好吃。」	Persimmons are delicious.	Les kakis sont délicieux.	APO
Asi ka malu kika ngalun mu.	「如果是好的我就拿。」	I will take it if it is good.	Je le prendrai s'il est bon.	ASI
Asi ka embiyax kika tduwa.	「只要夠強壯（年輕），那就有可能。」	Provided one is strong (young), then it is possible.	A condition d'être fort (jeune) alors c'est possible.	ASI
Saw kiya do, kasi ku usa da!	「既然如此，我只好走了！」	That being so, all I can do is leave!	Celà étant, je n'ai plus qu'à m'en aller !	ASI
Nasi su musa do, tgsai ku nhari.	「你若要去（當你去時），要讓我知道。」	If you go (when you go), let me know.	Si tu vas (quand tu iras), fais moi le savoir.	ASI
Tmalang ku pasi ku dhuq nhari da.	「我跑步好快點到達。」	I run so as to arrive quickly.	Je cours pour arriver vite.	ASI
Asi do, wada ka hiya da.	「突然間，他就走了！」	Suddenly, off he goes!	Brusquement, le voilà qui s'en va !	ASI
Malu bi asu dha.	「他們的分法（分配方式）很公平。」	Their sharing (way of sharing) is fair.	Leur partage (façon de partager) est juste.	ASO
Saun mu masu qpahun namu kiya aji namu musa isil.	「待會兒我會去把工作分派給你們，免得你們跑到別處去。」	In a little while I will go and share out the work to you, so that you do not go off elsewhere.	J'irai tout à l'heure vous distribuer le travail pour que vous ne partiez pas ailleurs.	ASO
Hmuya ka ini su peasug nhari ka nhuway dha?	「你為什麼不快點把人家送的東西分下去？」	Why do you not have what has been offered distributed quickly?	Pourquoi ne fais tu pas distribuer rapidement ce qui à été offert ?	ASO
Kmpeasug ku bi pila mu nanak ka yaku!	「我很想把我自己的錢分給大家！」	As for me, I would really like to share out my own money!	Moi je voudrais bien partager mon argent personnel !	ASO
Hyaun su uqun? … Ppeasug mu rdanan saman.	「你要拿這些食物做什麼？……明天分給老人家。」	What do you want to do with the food? … Share it out tomorrow to the elders.	Que veux tu faire de la nourriture ? … La partager demain aux anciens.	ASO
Emppeasug ku saman ka payay mu.	「明天我要把我的稻米分發出去。」	I will have my rice distributed tomorrow.	Je ferai distribuer mon riz demain.	ASO
Saman ka sgan qpahan; tama ta nanak ka empeasug.	「明天分配田地；由爸爸親自來分。」	The distribution of the fields is tomorrow; it is father himself who will do it.	C'est demain la distribution des champs ; c'est papa lui même qui la fera.	ASO
Ax! Gndara seejiq ka nii!	「啊！這是血的代價！」	Ah! This is the price of blood!	Ah ! Ceci est le prix du sang !	AX
Ax! Nii ka baki ta da!	「啊！我們的祖父來了！」	Ah! Here is our grandfather!	Ah ! Voilà notre grand père !	AX
Ax! Pgealu bi ka laqi nii, msa.	「啊！可憐的小孩子，他說！」	Ah! Poor little child, he said!	Ah ! Pauvre petit gosse, dit il !	AX
Ayang trabus.	「花生油。」	Peanut oil.	Huile d'arachide.	AYANG
Saun mu marig ayang spsamaw mu keeman kiya.	「我今晚得去買煤油來照明。」	I must go and buy kerosene to light my house this evening.	Je dois aller acheter du pétrole pour m'éclairer ce soir.	AYANG
Pnsamaw ku sapah Pihu ni seayang kana baga mu da!	「我在Pihu家點了燈，弄得滿手都是煤油味！」	I lit the lamp at Pihu's house and my hands smell of kerosene.	J'ai allumé la lampe chez Perho et j'ai les mains qui sentent le pétrole.	AYANG
Mayug elug qmpahan ni ida bi empaayug ka elug alang uri.	「田間的路已變成了溪流，村裡的路想必也會如此。」	The field path has become a stream, and no doubt the village paths will become so too.	Le chemin des champs est devenu ruisseau et sans doute les chemins du village le deviendront aussi.	AYO
Uxay gaya bi Truku ka ana meayung aji uri peayung.	「當僕人或使人為僕，都不是太魯閣族的習俗。」	It is hardly the custom of the Taroko either to be a servant or to make anyone a servant.	Ce n'est guère la coutume des Taroko ni d'être serviteur ni de rendre serviteur.	AYONG
Ya ga bi inu ka ayus qmpahan mu?	「我田地的界線到底在哪裡？」	Where then are the boundaries of my field?	Où sont elles donc les limites de mon champ ?	AYUS
Ayug pnaah daya ka balay bi mayus qmpahan ta.	「從上方流下來的那條溪，才真正成了我們田地的界線。」	It is the stream coming down from above that has truly become the boundary of our fields.	C'est le ruisseau venu d'en haut qui est vraiment devenu limite de nos champs.	AYUS
Skbaki mu seuxal ka pneayus pusu jima mu.	「從前是我已故的祖父為我的竹林劃定界線的。」	It was my late grandfather who long ago marked out my bamboo plantation.	C'est feu mon grand père autrefois qui a délimité ma plantation de bambous.	AYUS
Hmaun mu jima ppteayus dha qmpahan ta.	「我要種竹子，讓它們作我們田地之間的界線。」	I will plant bamboos so that they serve as the boundary between our fields.	Je planterai des bambous pour qu'ils servent de limite entre nos champs.	AYUS
Aji su empqneuqu! Prgi nanak pnteayusan, kiya da.	「你不會弄錯的；只要沿著界標走就行了。」	You cannot go wrong; you have only to follow the markers, and there you are.	Tu ne pourras pas te tromper ; tu n'as qu'à suivre les bornes et voilà.	AYUS
Ungat bi ka dhiya! Asi knteetu sneayus mkeekan!	「他們真是不可理喻（天下沒有像他們這樣的人）！為了地界爭吵不休！」	They are impossible (people like them do not exist)! They squabble continually about boundaries!	Ce n'est pas possible (Ils n'existent pas, eux) ! Ils se chamaillent continuellement à propos de limites !	AYUS
Ya kshaya! Maabeeba hici ka luqih su!	「別這樣！你的傷口會變成癰的！」	Do not do that! Your wound is going to turn into a carbuncle!	Ne fais pas ainsi ! Ta plaie va devenir un anthrax !	BA"BA
Babaw na sida.	「在那之後」	After that.	Après celà.	BABAO
Babaw ska hidaw.	「午後」	Afternoon.	Après midi.	BABAO
Babaw na do.	「接著」	Then, next.	Ensuite.	BABAO
Babaw spat hngkawas.	「四年之後」	After four years.	Après quatre ans.	BABAO
Babaw spat iyax hngkawas.	「經過四年的時間之後」	After the space of four years.	Après l'espace de quatre années.	BABAO
Babaw dnamux.	「在屋頂上」	On the roof.	Sur le toit.	BABAO
Babaw dxgal.	「在地上——在世上」	On earth - in the world.	Sur terre - au monde.	BABAO
Lnglungan nbabaw dxgal ka kiya.	「那是屬世的掛慮。」	That is a worldly concern.	Celà est une préoccupation mondaine.	BABAO
Kana sseejiq nbabaw dxgal.	「世上所有的人。」	All the people of the world.	Tous les hommes du monde.	BABAO
Wada na pnsbabaw pntriyan ka slaq niya.	「他把水田（的工作）延到婚禮之後。」	He has put off (the work of) his rice paddy until after the wedding.	Il a remis (le travail de) sa rizière après les noces.	BABAO
Tmabug babuy.				BABWI
Mnarux kana baga mu.	我整隻手（或：整條手臂）都在痛。	My whole hand (var. my whole arm) hurts.	Toute ma main (vl. tout mon bras) me fait mal.	BAGA
Mduuy baga.	牽著手的人（=嚮導）。	One who holds by the hand (= a guide).	Celui qui tient par la main (= un guide).	BAGA
Mputuh baga.	獨臂的人。	One-armed person.	Manchot.	BAGA
Qpahan nii o, asi ka embaga!	（做）這件工作，非得是行家不可！	(For) this work, one must be an expert.	(pour) ce travail, il faut être expert.	BAGA
Ana wada su na paqan ka baga o, ya keisug! Ida mha maabaga duri.	就算他在你手上砍了一道口子，也別怕！你的手會自己復原的。	Even if he has cut a gash in your hand, do not be afraid! Your hand is set on mending itself.	Même s'il t'a fait une entaille à la main, n'aie pas peur ! Ta main veut se refaire.	BAGA
Pnbaga nanak ka hiya, ya sa mngangah.	他只用手說話：他是啞巴！	He speaks only with his hands: he is mute!	Lui ne parle qu'avec les mains : Il est muet !	BAGA
Ma su pnbaga rmngaw.	你怎麼一邊講話一邊比手畫腳？	What has got into you, gesticulating while you talk?	Qu'est ce qui te prend de gesticuler en parlant ?	BAGA
Mkeekan quwaq ka tlealay ni ini biyaw pnbaga (pmbaga) ka dhiya.	他們先是口角，很快就動起手來了。	They began with words and quickly came to blows.	Ils ont commencé par des paroles et en sont vite venus aux mains.	BAGA
Pbgaun misu baga pais.	我要把你交到敵人手中。	I will deliver you into the hands of the enemies.	Je te livrerai aux ennemis.	BAGA
Wada na Pnbgaun naqih seejiq.	他被交在惡人的手中。	He was delivered into the hands of the wicked.	Il a été livré entre les mains des méchants.	BAGA
Luus ku bi! Ungat bais mu da!	我好孤單！我再也沒有朋友了！	I am all alone! I have no friends any more!	Je suis bien seul ! Je n'ai plus d'amis !	BAIS
Wada ungat seuxal ka bais Rungay.	Longai的丈夫早已不在人世了。	Longai's husband passed away long ago.	Le mari de Longai n'est plus depuis longtemps.	BAIS
Biqi baisan su.	拿去給你的丈夫。	Give (it) to your husband.	Donne à ton mari.	BAIS
Aji biyaw mabais ka uwa ni risaw nii.	這個女孩和這個男孩不久就要訂婚（結成一對）了。	This girl and this boy will soon be engaged (form a couple).	Cette fille et ce garçon ne vont pas tarder à se fiancer (à former un couple).	BAIS
Empbais ku kiya ka laqi mu ni laqi rihan.	我不久就要讓我的兒子（女兒）和Lirhan的女兒（兒子）訂婚。	I shall soon betroth my son (my daughter) to Lirhan's daughter (son).	Je fiancerai bientôt mon fils (ma fille) et la fille (le fils) de Lirhan.	BAIS
Kiya ni baka da.	再加上那個就夠了。	That one more and that will be all.	Encore celà et ce sera tout.	BAKA
Ini ku na baka.	我比他強（他不是我的對手）。	I am stronger than he is (he is no match for me).	Je suis plus fort que lui (Il n'est pas de taille pour moi).	BAKA
Baka bi ttuyan.	該起床了。	It is time to get up.	Il est temps de se lever.	BAKA
Arin ka tama baki mu.	我的曾祖父是Arin。	My great-grandfather is Arin.	Mon arrière grand père c'est Arin.	BAKI
Nkari baki mu nanak.	這是我岳父親口說的話。	Those are my father-in-law's very own words.	Ce sont les propres paroles de mon beau père.	BAKI
Mha su inu ki (=baki)?	祖父，您要去哪裡？	Where are you going, grandfather?	Où vas tu grand père ?	BAKI
Balay bi.	真的；確實。	Truly.	Vraiment.	BALAE
Bilaq balay.	很小。	Very small.	Très petit.	BALAE
Balay bi kiya.	那是千真萬確的。	That is quite true.	Celà est bien vrai.	BALAE
Mkan balay.	他吃得很多。	He eats a great deal.	Il mange beaucoup.	BALAE
Wana blbalay ka srngaw mu.	我所說的全是真話（我說話只講真理）。	Everything I say is true (I use nothing but truth when I speak).	Tout ce que je dis est vrai (Je ne me sers que de vérité pour parler).	BALAE
Mbalay kdjiyax ka Iban, ini bi sruwa kmhmut ka hiya.	Iban一向誠實，絕不容許自己胡亂行事。	Iban is always true; he does not allow himself to act carelessly.	Iban est toujours vrai, il ne se permet pas d'agir n'importe comment.	BALAE
Ida su qtaun; empaabalay bi ka nkari mu.	你等著瞧；事情將如我所說的實現。	And you will see it; it will be just as I told you.	Et tu le verras ; celà sera comme je t'ai dit.	BALAE
Ini kbalay ka kari na nii.	他這話不是真的。	What he says there is not true.	Ce n'est pas vrai ce qu'il dit là.	BALAE
Kana ttasil nii o, balay bi ka duma, hmut ka duma; nbalay ka kingal nii.	這些石頭當中，有些是真的，有些是假的；這一顆是真的。	Of these stones, some are real and others false; this one is a real one.	De ces pierres, certaines sont vraies et d'autres fausses ; celle ci est une vraie.	BALAE
Tlealay o, nduwa bi pbalay ka nquwaq su.	首先，要設法讓你嘴裡說過的話成真。	First of all, see to it that what your mouth has said comes true.	Tout d'abord fais en sorte que se réalise ce qu'a dit ta bouche.	BALAE
Pnbalay ku bi ka yaku, uxay ku pnqbling.	我是真心誠意去做的，不是騙子。	I go about it honestly, I do, and not as a liar.	J'y vais franchement, moi, et non en menteur.	BALAE
Msbalay kdjiyax ka lnglungan niya.	他的心思（心）始終平和安穩。	His mind (his heart) is always even-tempered.	Sa pensée (son coeur) est toujours d'égale humeur.	BALAE
Msbalay balay ka kari na.	他的話語十分平和。	His words are very serene.	Ses paroles sont très sereines.	BALAE
Suyang bi smblayan ka nniqan ta seuxal!	我們從前住的地方是多麼美好安寧啊！	What a wonderfully peaceful place it was where we used to live!	Quel merveilleux endroit paisible que celui où nous habitions autrefois !	BALAE
Sprang bi mniyah ka Aman spsbalay na lnglungan dha.	Aman正是特地前來安撫他們的心。	It is quite on purpose that Aman came, to calm their spirits.	C'est tout exprès que Aman est venu pour calmer leurs esprits.	BALAE
Pyahun dha mrata ppsbalay saw keekan dha.	他們會叫士兵來平息他們的爭吵。	They will bring in the soldiers to pacify their quarrels.	Ils feront venir les soldats pour pacifier leurs querelles.	BALAE
Ida mu psblayun ka alang ga!	我一定要平定那個村子！	And I do mean to pacify that village!	Et je veux le pacifier ce village là !	BALAE
Empnais bi ka pnsblayan dha mkealang truku.	他們在太魯閣人那裡的綏靖實在短暫！	Their pacification among the Taroko is truly short-lived!	Elle est vraiment éphémère leur pacification chez les taroko !	BALAE
Ana ima ka mskuxul knsblayan!	人人都熱愛和平！	Absolutely everyone is in love with peace!	C'est tout le monde qui est amoureux de la paix !	BALAE
Balay bi ini tbalay balay ka smlaan su nii.	說實話，你那塊建地其實並不怎麼平坦！	To tell the truth, that building plot of yours over there is not really flat!	A dire vrai il n'est pas vraiment plat ton terrain à bâtir qui se trouve là !	BALAE
Mtbalay balay ka hrpasan dha.	他們的遊戲場地非常平坦（平整）。	Their playground is perfectly flat (even).	Leur terrain de jeux est parfaitement plat (uni).	BALAE
Paru bi tblayan ka bukuy sapah mu.	我家後面有一大片平地。	There is a large flat piece of ground behind my house.	Il y a un grand terrain plat derrière chez moi.	BALAE
